Boro_Block_Lot,Baseline?,Condo_Section,Address,Neighborhood,Building_Classification,Total_Units,Year_Built,Gross_SqFt,Estimated_Gross_Income,Gross_Income_per_SqFt,Estimated_Expense,Expense_per_SqFt,Net_Operating_Income,Full_Market_Value,Market_Value_per_SqFt,Distance_From_Condo,BBL,BBLID,X,Y,Inspection_Type1,Inspection_ID1,Inspection_Date1,Result1,Inspection_Type2,Inspection_ID2,Inspection_Date2,Result2,Inspection_Type3,Inspection_ID3,Inspection_Date3,Result3,Inspection_Type4,Inspection_ID4,Inspection_Date4,Result4
1-01413-7502,No,1366-R1,179 EAST 78 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,14,1900,9285,"$308,819 ",$33 ,"$88,579 ",$10 ,"$220,240 ","$1,636,001 ",$176 ,NA,1-01413-7502,1014137502,995841.6,221269.1,INITIAL_INSP,PO500300,6/26/12,Passed Inspection,INITIAL_INSP,PO384165,12/23/11,Passed Inspection,INITIAL_INSP,PO211454,11/26/10,Passed Inspection,INITIAL_INSP,PO211149,11/23/10,Passed Inspection
1-01414-7501,No,0139-R1,220 EAST 60 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,137,1965,102271,"$4,124,589 ",$40 ,"$1,180,207 ",$12 ,"$2,944,382 ","$22,248,996 ",$218 ,NA,1-01414-7501,1014147501,993829.8,216726.7,INITIAL_INSP,PO498835,7/3/12,Passed Inspection,INITIAL_INSP,PO364816,11/7/11,Passed Inspection,INITIAL_INSP,PO186679,10/12/10,Passed Inspection,NA,NA,NA,NA
1-01414-7502,No,1465-R1,205 EAST 59 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,62,2003,82086,"$3,200,000 ",$39 ,"$780,000 ",$10 ,"$2,420,000 ","$18,320,998 ",$223 ,NA,1-01414-7502,1014147502,993634.9,216740.8,INITIAL_INSP,PO498811,7/3/12,Passed Inspection,INITIAL_INSP,PO364807,11/7/11,Passed Inspection,INITIAL_INSP,PO186686,10/12/10,Passed Inspection,NA,NA,NA,NA
1-01414-7503,No,1938-R1,250 EAST 60 STREET,UPPER EAST SIDE (59-79),RR-CONDOMINIUM,42,2006,37492,"$999,912 ",$27 ,"$429,658 ",$11 ,"$570,254 ","$4,123,000 ",$110 ,NA,1-01414-7503,1014147503,994084,216609.5,INITIAL_INSP,PO498827,7/3/12,Passed Inspection,INITIAL_INSP,PO484043,6/1/12,Passed Inspection,INITIAL_INSP,PO364824,11/7/11,Passed Inspection,INITIAL_INSP,PO186670,10/12/10,Passed Inspection
1-01415-0009,NA,NA,217 EAST 60 STREET,UPPER EAST SIDE (59-79),D7-ELEVATOR,23,1985,15561,"$718,409 ",$46 ,"$190,873 ",$12 ,"$527,536 ","$3,966,000 ",$255 ,0.25,1-01415-0009,1014150009,993911.1,216915,INITIAL_INSP,PO498773,7/3/12,Passed Inspection,INITIAL_INSP,PO364956,11/4/11,Passed Inspection,INITIAL_INSP,PO186818,10/14/10,Passed Inspection,NA,NA,NA,NA
1-01415-7501,No,0307-R1,200 EAST 61 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,219,1986,254167,"$11,511,223 ",$45 ,"$3,240,629 ",$13 ,"$8,270,594 ","$62,227,001 ",$245 ,NA,1-01415-7501,1014157501,993795.2,217018.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01419-7501,No,0197-R1,1225 2 AVENUE,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,88,1963,124765,"$5,192,719 ",$42 ,"$1,610,716 ",$13 ,"$3,582,003 ","$27,041,999 ",$217 ,NA,1-01419-7501,1014197501,994738,217689.2,INITIAL_INSP,PO498363,6/22/12,Passed Inspection,INITIAL_INSP,PO370786,11/17/11,Passed Inspection,INITIAL_INSP,PO190632,10/28/10,Passed Inspection,NA,NA,NA,NA
1-01419-7502,No,0529-R1,200 EAST 65 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,295,1987,318183,"$14,505,963 ",$46 ,"$3,929,560 ",$12 ,"$10,576,403 ","$79,558,002 ",$250 ,NA,1-01419-7502,1014197502,994365.7,217895.6,INITIAL_INSP,PO498360,6/22/12,Passed Inspection,INITIAL_INSP,PO370789,11/17/11,Passed Inspection,INITIAL_INSP,PO190635,10/28/10,Passed Inspection,NA,NA,NA,NA
1-01419-7503,No,0833-R1,220 EAST 65 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,287,1978,307730,"$13,937,092 ",$45 ,"$3,923,558 ",$13 ,"$10,013,534 ","$75,341,000 ",$245 ,NA,1-01419-7503,1014197503,994564.4,217784.5,INITIAL_INSP,PO498362,6/22/12,Passed Inspection,INITIAL_INSP,PO370787,11/17/11,Passed Inspection,INITIAL_INSP,PO190633,10/28/10,Passed Inspection,NA,NA,NA,NA
1-01420-7501,No,1951-R1,200 EAST 66 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,578,1951,925645,"$32,184,677 ",$35 ,"$11,959,333 ",$13 ,"$20,225,344 ","$149,717,993 ",$162 ,NA,1-01420-7501,1014207501,994629.4,218027.2,INITIAL_INSP,PO498359,6/22/12,Passed Inspection,INITIAL_INSP,PO372867,12/2/11,Passed Inspection,INITIAL_INSP,PO192034,10/26/10,Passed Inspection,NA,NA,NA,NA
1-01423-7501,No,0765-R1,200 EAST 69 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,283,1991,408657,"$20,048,712 ",$49 ,"$5,067,347 ",$12 ,"$14,981,365 ","$112,328,993 ",$275 ,NA,1-01423-7501,1014237501,994842.1,218822.9,INITIAL_INSP,PO498325,6/22/12,Passed Inspection,INITIAL_INSP,PO374628,11/30/11,Passed Inspection,INITIAL_INSP,PO192396,10/22/10,Passed Inspection,NA,NA,NA,NA
1-01424-0029,NA,NA,226 EAST 70 STREET,UPPER EAST SIDE (59-79),D1-ELEVATOR,50,1921,41898,"$1,681,111 ",$40 ,"$452,080 ",$11 ,"$1,229,031 ","$9,288,000 ",$222 ,0.31,1-01424-0029,1014240029,995288,218913.2,INITIAL_INSP,PO498316,6/20/12,Passed Inspection,INITIAL_INSP,PO375635,11/22/11,Passed Inspection,INITIAL_INSP,PO196919,10/28/10,Passed Inspection,NA,NA,NA,NA
1-01424-7501,No,0466-R1,233 EAST 69 STREET,UPPER EAST SIDE (59-79),R9-CONDOMINIUM,204,1957,206511,"$7,737,967 ",$37 ,"$2,091,956 ",$10 ,"$5,646,011 ","$41,509,000 ",$201 ,NA,1-01424-7501,1014247501,995332.5,218830.7,INITIAL_INSP,PO498312,6/20/12,Passed Inspection,INITIAL_INSP,PO375634,11/22/11,Passed Inspection,INITIAL_INSP,PO196921,10/28/10,Passed Inspection,NA,NA,NA,NA
1-01424-7503,No,1797-R1,212 EAST 70 STREET,UPPER EAST SIDE (59-79),R2-CONDOMINIUM,16,1900,9237,"$392,757 ",$43 ,"$82,394 ",$9 ,"$310,363 ","$2,341,000 ",$253 ,NA,1-01424-7503,1014247503,995100.4,219037.4,INITIAL_INSP,PO498322,6/20/12,Passed Inspection,INITIAL_INSP,PO375642,11/22/11,Passed Inspection,INITIAL_INSP,PO196913,10/28/10,Passed Inspection,NA,NA,NA,NA
1-01425-0026,NA,NA,1343 2 AVENUE,UPPER EAST SIDE (59-79),C7-WALK-UP,10,1910,7500,"$251,175 ",$33 ,NA,NA,"$251,175 ","$3,140,000 ",$419 ,0.05,1-01425-0026,1014250026,995527.6,219084.8,INITIAL_INSP,PO498300,6/20/12,Passed Inspection,INITIAL_INSP,PO376153,12/2/11,Passed Inspection,INITIAL_INSP,PO197200,10/29/10,Passed Inspection,NA,NA,NA,NA
1-01425-0028,NA,NA,1347 2 AVENUE,UPPER EAST SIDE (59-79),C7-WALK-UP,18,1920,7560,"$412,810 ",$55 ,"$73,041 ",$10 ,"$339,769 ","$2,536,000 ",$335 ,0.05,1-01425-0028,1014250028,995552.4,219129.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01425-7501,No,0465-R1,1329 2 AVENUE,UPPER EAST SIDE (59-79),R9-CONDOMINIUM,88,1957,89223,"$3,086,224 ",$35 ,"$899,368 ",$10 ,"$2,186,856 ","$16,193,000 ",$181 ,NA,1-01425-7501,1014257501,995484.7,219007.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01429-7502,No,1960-R1,255 EAST 74 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,77,2007,208325,"$10,100,000 ",$48 ,"$2,162,414 ",$10 ,"$7,937,586 ","$59,551,001 ",$286 ,NA,1-01429-7502,1014297502,996016.1,219976.6,INITIAL_INSP,PO495094,6/19/12,Passed Inspection,INITIAL_INSP,PO381762,12/9/11,Passed Inspection,INITIAL_INSP,PO201923,11/9/10,Passed Inspection,NA,NA,NA,NA
1-01430-7501,No,0784-R1,240 EAST 76 STREET,UPPER EAST SIDE (59-79),R9-CONDOMINIUM,295,1957,239536,"$7,971,758 ",$33 ,"$1,794,125 ",$7 ,"$6,177,633 ","$45,900,000 ",$192 ,NA,1-01430-7501,1014307501,996152.6,220249.4,INITIAL_INSP,PO497097,6/19/12,Passed Inspection,INITIAL_INSP,PO382300,12/12/11,Passed Inspection,INITIAL_INSP,PO203659,11/19/10,Passed Inspection,NA,NA,NA,NA
1-01431-0032,NA,NA,244 EAST 77 STREET,UPPER EAST SIDE (59-79),D9-ELEVATOR,26,1920,15440,"$617,100 ",$40 ,"$146,982 ",$10 ,"$470,118 ","$3,553,000 ",$230 ,0.15,1-01431-0032,1014310032,996179.7,220577.8,COMPLIANCE_INSP,PO497076,7/30/12,Passed Inspection,INITIAL_INSP,PO497076,6/19/12,Active Rat Signs,INITIAL_INSP,PO382656,12/14/11,Passed Inspection,INITIAL_INSP,PO203834,11/10/10,Passed Inspection
1-01432-7501,No,0356-R1,213 EAST 77 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,30,1930,18869,"$657,585 ",$35 ,"$125,856 ",$7 ,"$531,729 ","$3,934,998 ",$209 ,NA,1-01432-7501,1014327501,996101.8,220833.3,INITIAL_INSP,PO497021,6/18/12,Passed Inspection,INITIAL_INSP,PO382937,12/13/11,Passed Inspection,INITIAL_INSP,PO207997,11/16/10,Passed Inspection,NA,NA,NA,NA
1-01433-7501,No,0423-R1,205 EAST 78 STREET,UPPER EAST SIDE (59-79),R9-CONDOMINIUM,218,1931,233483,"$9,979,063 ",$43 ,"$2,986,248 ",$13 ,"$6,992,815 ","$52,748,000 ",$226 ,NA,1-01433-7501,1014337501,996094.2,221140.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01435-7501,No,0553-R1,303 EAST 60 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,157,1986,112099,"$4,830,346 ",$43 ,"$1,205,064 ",$11 ,"$3,625,282 ","$27,319,003 ",$244 ,NA,1-01435-7501,1014357501,994442.8,216672,INITIAL_INSP,PO496943,6/28/12,Passed Inspection,INITIAL_INSP,PO364917,11/4/11,Passed Inspection,INITIAL_INSP,PO187207,10/14/10,Passed Inspection,NA,NA,NA,NA
1-01436-0022,NA,NA,349 EAST 61 STREET,UPPER EAST SIDE (59-79),C7-WALK-UP,21,1910,8710,"$335,097 ",$38 ,"$113,608 ",$13 ,"$221,489 ","$1,676,000 ",$192 ,0,1-01436-0022,1014360022,994931.6,216640.5,INITIAL_INSP,PO496923,6/28/12,Passed Inspection,INITIAL_INSP,PO366734,11/10/11,Passed Inspection,INITIAL_INSP,PO187310,10/13/10,Passed Inspection,NA,NA,NA,NA
1-01436-7501,No,0272-R1,1178 2 AVENUE,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,110,1986,112573,"$4,850,771 ",$43 ,"$1,210,160 ",$11 ,"$3,640,611 ","$27,435,000 ",$244 ,NA,1-01436-7501,1014367501,994558.9,216970.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01436-7502,No,0546-R1,350 EAST 62 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,93,1977,66688,"$2,099,338 ",$31 ,"$556,845 ",$8 ,"$1,542,493 ","$11,510,999 ",$173 ,NA,1-01436-7502,1014367502,994993.9,216693.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01436-7503,No,1665-R1,1115 1 AVENUE,UPPER EAST SIDE (59-79),RR-CONDOMINIUM,45,2005,28035,"$1,135,698 ",$41 ,"$280,630 ",$10 ,"$855,068 ","$6,460,000 ",$230 ,NA,1-01436-7503,1014367503,994995.9,216598,INITIAL_INSP,PO496926,6/28/12,Passed Inspection,INITIAL_INSP,PO366727,11/10/11,Passed Inspection,INITIAL_INSP,PO187289,10/13/10,Passed Inspection,NA,NA,NA,NA
1-01437-0041,NA,NA,330 EAST 63 STREET,UPPER EAST SIDE (59-79),D1-ELEVATOR,90,1949,70992,"$2,172,050 ",$31 ,"$689,768 ",$10 ,"$1,482,282 ","$11,082,000 ",$156 ,0.05,1-01437-0041,1014370041,994946.1,217005,INITIAL_INSP,PO496909,7/12/12,Passed Inspection,INITIAL_INSP,PO368486,11/14/11,Passed Inspection,INITIAL_INSP,PO189806,10/28/10,Passed Inspection,NA,NA,NA,NA
1-01438-7501,No,0001-R1,340 EAST 64 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,306,1965,504238,"$21,334,310 ",$42 ,"$5,859,246 ",$12 ,"$15,475,064 ","$116,765,997 ",$232 ,NA,1-01438-7501,1014387501,995206.8,217133.9,INITIAL_INSP,PO496885,7/11/12,Passed Inspection,INITIAL_INSP,PO370021,11/23/11,Passed Inspection,INITIAL_INSP,PO190571,10/29/10,Passed Inspection,NA,NA,NA,NA
1-01439-0009,NA,NA,325 EAST 64 STREET,UPPER EAST SIDE (59-79),D9-ELEVATOR,90,1920,67390,"$2,572,950 ",$38 ,"$874,722 ",$13 ,"$1,698,228 ","$12,852,000 ",$191 ,0,1-01439-0009,1014390009,995090.4,217459.4,INITIAL_INSP,PO496839,7/11/12,Passed Inspection,INITIAL_INSP,PO370782,11/17/11,Passed Inspection,INITIAL_INSP,PO190617,10/28/10,Passed Inspection,NA,NA,NA,NA
1-01439-0023,NA,NA,1185 1 AVENUE,UPPER EAST SIDE (59-79),D7-ELEVATOR,61,1996,50225,"$2,072,845 ",$41 ,"$353,762 ",$7 ,"$1,719,083 ","$11,550,000 ",$230 ,0.65,1-01439-0023,1014390023,995355.4,217262.9,INITIAL_INSP,PO496842,7/11/12,Passed Inspection,INITIAL_INSP,PO370785,11/17/11,Passed Inspection,INITIAL_INSP,PO190614,10/28/10,Passed Inspection,NA,NA,NA,NA
1-01439-7501,No,0427-R1,304 EAST 65 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,127,1987,149981,"$7,050,607 ",$47 ,"$2,077,237 ",$14 ,"$4,973,370 ","$37,370,999 ",$249 ,NA,1-01439-7501,1014397501,994937.5,217624,INITIAL_INSP,PO496836,7/11/12,Passed Inspection,INITIAL_INSP,PO370778,11/17/11,Passed Inspection,INITIAL_INSP,PO190620,10/28/10,Passed Inspection,NA,NA,NA,NA
1-01439-7502,No,0802-R1,330 EAST 65 STREET,UPPER EAST SIDE (59-79),R9-CONDOMINIUM,56,1910,30899,"$1,137,701 ",$37 ,"$307,754 ",$10 ,"$829,947 ","$6,112,000 ",$198 ,NA,1-01439-7502,1014397502,995188.7,217488.7,INITIAL_INSP,PO496850,7/11/12,Passed Inspection,INITIAL_INSP,PO370774,11/17/11,Passed Inspection,INITIAL_INSP,PO190625,10/28/10,Passed Inspection,NA,NA,NA,NA
1-01441-7501,No,0693-R1,301 EAST 66 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,204,1956,203938,"$8,487,900 ",$42 ,"$2,632,840 ",$13 ,"$5,855,060 ","$44,202,005 ",$217 ,NA,1-01441-7501,1014417501,995162.7,218051.6,INITIAL_INSP,PO496794,6/27/12,Passed Inspection,INITIAL_INSP,PO373333,11/21/11,Passed Inspection,INITIAL_INSP,PO192217,10/26/10,Passed Inspection,NA,NA,NA,NA
1-01443-7501,No,0175-R1,265 1 AVENUE,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,20,1984,22283,"$903,353 ",$41 ,"$267,396 ",$12 ,"$635,957 ","$4,804,997 ",$216 ,NA,1-01443-7501,1014437501,995866.4,218156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01444-0042,NA,NA,314 EAST 70 STREET,UPPER EAST SIDE (59-79),C7-WALK-UP,17,1910,9370,"$398,412 ",$43 ,"$135,490 ",$14 ,"$262,922 ","$1,984,000 ",$212 ,0.14,1-01444-0042,1014440042,995737,218687.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01444-7501,No,0377-R1,301 EAST 69 STREET,UPPER EAST SIDE (59-79),R9-CONDOMINIUM,198,1963,206278,"$6,621,524 ",$32 ,"$1,631,659 ",$8 ,"$4,989,865 ","$37,191,000 ",$180 ,NA,1-01444-7501,1014447501,995548.3,218703.1,INITIAL_INSP,PO496696,6/27/12,Passed Inspection,INITIAL_INSP,PO375617,11/21/11,Passed Inspection,INITIAL_INSP,PO196944,10/28/10,Passed Inspection,NA,NA,NA,NA
1-01445-7501,No,0325-R1,1328 2 AVENUE,UPPER EAST SIDE (59-79),R9-CONDOMINIUM,284,1961,277477,"$10,233,352 ",$37 ,"$2,869,112 ",$10 ,"$7,364,240 ","$54,221,000 ",$195 ,NA,1-01445-7501,1014457501,995688.8,218952.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01446-7501,No,0514-R1,350 EAST 72 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,36,1988,70776,"$2,887,661 ",$41 ,"$847,189 ",$12 ,"$2,040,472 ","$15,413,000 ",$218 ,NA,1-01446-7501,1014467501,996150.2,219056.6,INITIAL_INSP,PO496566,6/26/12,Passed Inspection,INITIAL_INSP,PO376439,12/5/11,Passed Inspection,INITIAL_INSP,PO197472,11/4/10,Passed Inspection,NA,NA,NA,NA
1-01446-7502,No,0950-R1,308 EAST 72 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,75,1996,125555,"$5,184,166 ",$41 ,"$1,486,571 ",$12 ,"$3,697,595 ","$27,921,006 ",$222 ,NA,1-01446-7502,1014467502,995835.1,219226,INITIAL_INSP,PO496571,6/26/12,Passed Inspection,INITIAL_INSP,PO381062,12/23/11,Passed Inspection,INITIAL_INSP,PO376434,12/5/11,Passed Inspection,INITIAL_INSP,PO197477,11/4/10,Passed Inspection
1-01446-7503,No,1521-R1,330 EAST 72 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,13,2005,33133,"$1,557,582 ",$47 ,"$458,892 ",$14 ,"$1,098,690 ","$8,239,005 ",$249 ,NA,1-01446-7503,1014467503,996018.7,219117.2,INITIAL_INSP,PO496569,6/26/12,Passed Inspection,INITIAL_INSP,PO376436,12/5/11,Passed Inspection,INITIAL_INSP,PO197475,11/4/10,Passed Inspection,NA,NA,NA,NA
1-01447-0023,NA,NA,1347 1 AVENUE,UPPER EAST SIDE (59-79),D6-ELEVATOR,145,1962,165527,"$4,861,515 ",$29 ,"$1,778,511 ",$11 ,"$3,083,004 ","$23,123,000 ",$140 ,0.2,1-01447-0023,1014470023,996393.1,219159.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01448-0001,NA,NA,1404 2 AVENUE,UPPER EAST SIDE (59-79),D6-ELEVATOR,66,1966,56980,"$1,610,679 ",$28 ,"$552,737 ",$10 ,"$1,057,942 ","$7,611,000 ",$134 ,0.1,1-01448-0001,1014480001,996030.7,219623.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01448-7501,No,0682-R1,340 EAST 74 STREET,UPPER EAST SIDE (59-79),R9-CONDOMINIUM,121,1957,119227,"$3,868,916 ",$32 ,"$1,275,729 ",$11 ,"$2,593,187 ","$19,300,000 ",$162 ,NA,1-01448-7501,1014487501,996488.1,219514.5,INITIAL_INSP,PO496473,6/22/12,Passed Inspection,INITIAL_INSP,PO379320,12/7/11,Passed Inspection,INITIAL_INSP,PO198090,11/9/10,Passed Inspection,NA,NA,NA,NA
1-01449-0003,NA,NA,1424 2 AVENUE,UPPER EAST SIDE (59-79),D6-ELEVATOR,479,1979,454248,"$25,337,579 ",$56 ,"$6,468,554 ",$14 ,"$18,869,025 ","$140,688,000 ",$310 ,0.3,1-01449-0003,1014490003,996241.2,219872.2,COMPLIANCE_INSP,PO496386,7/27/12,Active Rat Signs,INITIAL_INSP,PO496386,6/21/12,Active Rat Signs,INITIAL_INSP,PO381754,12/12/11,Passed Inspection,INITIAL_INSP,PO201885,11/9/10,Passed Inspection
1-01449-7501,No,0196-R1,1439 1 AVENUE,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,197,1985,238634,"$11,103,640 ",$47 ,"$2,980,539 ",$12 ,"$8,123,101 ","$61,062,019 ",$256 ,NA,1-01449-7501,1014497501,996627.1,219712.2,INITIAL_INSP,PO496399,6/21/12,Passed Inspection,INITIAL_INSP,PO381751,12/12/11,Passed Inspection,INITIAL_INSP,PO201879,11/9/10,Passed Inspection,NA,NA,NA,NA
1-01449-7502,No,0380-R1,339 EAST 74 STREET,UPPER EAST SIDE (59-79),R9-CONDOMINIUM,149,1987,148594,"$6,694,160 ",$45 ,"$1,827,706 ",$12 ,"$4,866,454 ","$36,620,000 ",$246 ,NA,1-01449-7502,1014497502,996520.2,219741.5,INITIAL_INSP,PO496393,6/21/12,Passed Inspection,INITIAL_INSP,PO381752,12/12/11,Passed Inspection,INITIAL_INSP,PO201881,11/9/10,Passed Inspection,NA,NA,NA,NA
1-01450-7501,No,0707-R1,333 EAST 75 STREET,UPPER EAST SIDE (59-79),R9-CONDOMINIUM,125,1961,91143,"$3,152,636 ",$35 ,"$918,721 ",$10 ,"$2,233,915 ","$16,541,000 ",$181 ,NA,1-01450-7501,1014507501,996681.9,219915.8,INITIAL_INSP,PO496375,6/21/12,Passed Inspection,INITIAL_INSP,PO382298,12/12/11,Passed Inspection,INITIAL_INSP,PO203677,11/12/10,Passed Inspection,NA,NA,NA,NA
1-01451-7501,No,1254-R1,300 EAST 77 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,86,2000,187530,"$8,635,757 ",$46 ,"$2,087,209 ",$11 ,"$6,548,548 ","$46,750,004 ",$249 ,NA,1-01451-7501,1014517501,996496.4,220393.5,INITIAL_INSP,PO496327,6/19/12,Passed Inspection,INITIAL_INSP,PO382633,12/14/11,Passed Inspection,INITIAL_INSP,PO203792,11/10/10,Passed Inspection,NA,NA,NA,NA
1-01452-7501,No,2163-R1,303 EAST 77 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,32,2008,61517,"$2,600,324 ",$42 ,"$577,029 ",$9 ,"$2,023,295 ","$15,167,996 ",$247 ,NA,1-01452-7501,1014527501,996533.4,220550.6,INITIAL_INSP,PO496182,6/15/12,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01453-7501,No,1890-R1,300 EAST 79 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,34,2006,72659,"$2,899,094 ",$40 ,"$619,781 ",$9 ,"$2,279,313 ","$17,228,001 ",$237 ,NA,1-01453-7501,1014537501,996731.8,220909,INITIAL_INSP,PO496147,6/15/12,Passed Inspection,INITIAL_INSP,PO384095,12/20/11,Passed Inspection,INITIAL_INSP,PO211091,12/3/10,Passed Inspection,NA,NA,NA,NA
1-01455-0013,NA,NA,421 EAST 60 STREET,UPPER EAST SIDE (59-79),D8-ELEVATOR,234,2001,307000,"$12,528,071 ",$41 ,"$3,828,404 ",$12 ,"$8,699,667 ","$65,712,000 ",$214 ,0.59,1-01455-0013,1014550013,995351.5,216158.9,INITIAL_INSP,PO495298,6/25/12,Passed Inspection,INITIAL_INSP,PO364902,11/7/11,Passed Inspection,INITIAL_INSP,PO187236,10/14/10,Passed Inspection,NA,NA,NA,NA
1-01455-0021,NA,NA,1113 YORK AVENUE,UPPER EAST SIDE (59-79),D8-ELEVATOR,173,2009,276244,"$13,392,309 ",$48 ,"$3,964,101 ",$14 ,"$9,428,208 ","$22,525,000 ",$82 ,0.71,1-01455-0021,1014550021,995505.4,216074.3,INITIAL_INSP,PO495299,6/25/12,Passed Inspection,INITIAL_INSP,PO364901,11/7/11,Passed Inspection,INITIAL_INSP,PO187237,10/14/10,Passed Inspection,NA,NA,NA,NA
1-01455-7501,No,1144-R1,401 EAST 60 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,218,1999,310519,"$14,063,406 ",$45 ,"$3,959,117 ",$13 ,"$10,104,289 ","$76,058,943 ",$245 ,NA,1-01455-7501,1014557501,995155.5,216266.8,INITIAL_INSP,PO495295,6/25/12,Passed Inspection,INITIAL_INSP,PO364904,11/7/11,Passed Inspection,INITIAL_INSP,PO187233,10/14/10,Passed Inspection,NA,NA,NA,NA
1-01457-0046,NA,NA,1142 1 AVENUE,UPPER EAST SIDE (59-79),C7-WALK-UP,16,1910,7816,"$317,720 ",$41 ,"$108,017 ",$14 ,"$209,703 ","$1,584,000 ",$203 ,0.05,1-01457-0046,1014570046,995334.1,216835.4,INITIAL_INSP,PO495271,6/25/12,Passed Inspection,INITIAL_INSP,PO368510,11/15/11,Passed Inspection,INITIAL_INSP,PO189828,10/29/10,Passed Inspection,NA,NA,NA,NA
1-01457-0145,NA,NA,404 EAST 63 STREET,UPPER EAST SIDE (59-79),C7-WALK-UP,17,1910,9730,"$344,035 ",$35 ,"$129,506 ",$13 ,"$214,529 ","$1,586,000 ",$163 ,0.05,1-01457-0145,1014570145,995371.5,216801.3,INITIAL_INSP,PO495281,6/25/12,Passed Inspection,INITIAL_INSP,PO368519,11/15/11,Passed Inspection,INITIAL_INSP,PO189836,10/29/10,Passed Inspection,NA,NA,NA,NA
1-01457-7501,No,0269-R1,403 EAST 62 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,54,1985,55942,"$2,300,000 ",$41 ,"$450,000 ",$8 ,"$1,850,000 ","$14,005,996 ",$250 ,NA,1-01457-7501,1014577501,995334,216719.4,INITIAL_INSP,PO495278,6/25/12,Passed Inspection,INITIAL_INSP,PO368517,11/15/11,Passed Inspection,INITIAL_INSP,PO189834,10/29/10,Passed Inspection,NA,NA,NA,NA
1-01458-0042,NA,NA,408 EAST 64 STREET,UPPER EAST SIDE (59-79),C7-WALK-UP,17,1910,8350,"$497,076 ",$60 ,"$144,121 ",$17 ,"$352,955 ","$2,622,000 ",$314 ,0,1-01458-0042,1014580042,995568.2,216991.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01458-0043,NA,NA,406 EAST 64 STREET,UPPER EAST SIDE (59-79),C7-WALK-UP,17,1910,8350,"$231,032 ",$28 ,"$55,234 ",$7 ,"$175,798 ","$1,267,000 ",$152 ,0,1-01458-0043,1014580043,995546.3,217003.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
